Model,Mean,Variance,Skewness
N-Gem-27B,1.876,0.193,0.437
S-Gem-27B-v0.2,-9.275,1.017,0.072
S-Gem-27B,-30.422,11.986,0.878
S-Lla-8B-v0.2,-18.699,5.715,1.117
N-Lla-8B,16.613,9.556,1.133
L-Lla-8B,-0.137,0.034,1.763
R-Lla-8B,-14.239,0.781,0.504
R-Lla-3B,-6.777,2.597,1.672
F-Lla-8B-v0.1,0.031,0.0,1.055
R-Gem-2B,-5.279,1.957,1.457
